Title,Release_Date,Rating,No_of_Persons_Voted,Directed_by,Duration,Genres
The Farewell,2019-07-12,8.2,256,Lulu Wang,1 h 40 m,Comedy
The Tale of The Princess Kaguya,2014-10-17,8.4,268,Isao Takahata,2 h 17 m,Animation
Uncertain,2017-03-10,6.8,5,"Ewan McNicol 
    
      Anna Sandilands",1 h 22 m,Documentary
Great Freedom,2022-03-04,6.2,31,Sebastian Meise,1 h 56 m,Drama
No End in Sight,2007-07-27,8.5,15,Charles Ferguson,1 h 42 m,Documentary
The Madness of King George,1994-12-28,7.6,15,Nicholas Hytner,1 h 44 m,Biography
Phoenix,2015-07-24,7.8,100,Christian Petzold,1 h 38 m,Drama
Goodbye Solo,2009-03-27,7.0,16,Ramin Bahrani,1 h 31 m,Drama
Gunda,2020-12-11,7.3,23,Victor Kossakovsky,1 h 33 m,Documentary
Western,2015-09-25,6.7,15,"Bill Ross IV 
    
      Turner Ross",1 h 32 m,Documentary
Western,2018-02-16,6.7,15,"Bill Ross IV 
    
      Turner Ross",1 h 32 m,Documentary
Western,1998-07-24,6.7,15,"Bill Ross IV 
    
      Turner Ross",1 h 32 m,Documentary
The Power of the Dog,2021-11-17,6.5,426,Jane Campion,2 h 5 m,Drama
Mr. Bachmann and His Class,2022-02-20,7.3,6,Maria Speth,3 h 37 m,Documentary
Deep Red,1976-06-11,7.3,44,Dario Argento,2 h 6 m,Horror
Alien,1979-06-22,9.0,1490,Ridley Scott,1 h 57 m,Horror
Columbus,2017-08-04,7.3,112,Kogonada,1 h 40 m,Drama
The Artist,2011-11-23,8.1,637,Michel Hazanavicius,1 h 40 m,Comedy
Zama,2018-04-13,7.3,43,Lucrecia Martel,1 h 55 m,Drama
The Piano,1993-11-01,7.9,119,Jane Campion,2 h 1 m,Drama
Cameraperson,2016-09-09,6.4,16,Kirsten Johnson,1 h 42 m,Documentary
Dick Johnson Is Dead,2020-10-02,7.1,48,Kirsten Johnson,1 h 29 m,Documentary
The Quiet Girl,2022-12-16,7.9,70,Colm Bairéad,1 h 34 m,Drama
Letters from Iwo Jima,2006-12-20,8.2,209,Clint Eastwood,2 h 21 m,Action
A Woman Under the Influence,1974-11-18,7.7,26,John Cassavetes,2 h 35 m,Drama
Anomalisa,2015-12-30,7.5,333,"Duke Johnson 
    
      Charlie Kaufman",1 h 30 m,Animation
I'm Going Home,2002-08-14,7.8,5,Manoel de Oliveira,1 h 30 m,Comedy
The Conversation,1974-04-07,8.3,155,Francis Ford Coppola,1 h 53 m,Drama
The Arbor,2011-04-27,7.6,12,Clio Barnard,1 h 34 m,Documentary
Long Day's Journey Into Night,2019-04-12,7.1,40,Bi Gan,2 h 18 m,Drama
Three Minutes: A Lengthening,2022-08-19,6.7,9,Bianca Stigter,1 h 9 m,Documentary
