Title,Release_Date,Rating,No_of_Persons_Voted,Directed_by,Duration,Genres
The Lion King,1994-06-15,9.0,1028,"Roger Allers 
    
      Rob Minkoff",1 h 29 m,Animation
The Lion King,1994-06-15,9.0,1029,"Roger Allers 
    
      Rob Minkoff",1 h 29 m,Animation
The Lion King,2019-07-19,9.0,1028,"Roger Allers 
    
      Rob Minkoff",1 h 29 m,Animation
The Lion King,2019-07-19,9.0,1029,"Roger Allers 
    
      Rob Minkoff",1 h 29 m,Animation
4 Little Girls,1997-07-09,7.2,11,Spike Lee,1 h 42 m,Documentary
Azor,2021-09-10,6.6,9,Andreas Fontana,1 h 40 m,Drama
Paddington 2,2018-01-12,8.3,354,Paul King,1 h 43 m,Adventure
The Little Mermaid,1989-11-17,7.5,322,"Ron Clements 
    
      John Musker",1 h 23 m,Animation
The Little Mermaid,2023-05-26,7.5,322,"Ron Clements 
    
      John Musker",1 h 23 m,Animation
City Hall,2020-10-28,6.2,11,Frederick Wiseman,4 h 32 m,Documentary
City Hall,1996-02-16,6.2,11,Frederick Wiseman,4 h 32 m,Documentary
A Serious Man,2009-10-02,7.3,213,"Ethan Coen 
    
      Joel Coen",1 h 46 m,Comedy
Capote,2005-09-30,7.5,149,Bennett Miller,1 h 54 m,Biography
The Death of Stalin,2018-03-09,7.3,310,Armando Iannucci,1 h 47 m,Comedy
About Dry Grasses,2024-02-23,7.5,19,Nuri Bilge Ceylan,3 h 17 m,Drama
Tulpan,2009-04-01,6.9,8,Sergei Dvortsevoy,1 h 40 m,Comedy
Manuscripts Don't Burn,2014-06-13,5.9,14,Mohammad Rasoulof,Not Rated,Drama
In Transit,2017-06-23,4.8,4,"Albert Maysles 
    
      Lynn True 
    
      David Usui 
    
      Nelson Walker III 
    
      Ben Wu",1 h 16 m,Documentary
"Three Billboards Outside Ebbing, Missouri",2017-11-10,7.8,1073,Martin McDonagh,1 h 55 m,Comedy
Au Revoir les Enfants,1988-02-12,7.9,8,Louis Malle,1 h 44 m,Drama
Overlord [re-release],2006-07-14,8.0,4,Stuart Cooper,1 h 23 m,Drama
A Film Unfinished,2010-08-18,8.0,21,Yael Hersonski,Unrated,Documentary
Things to Come,2016-12-02,6.9,56,Mia Hansen-Løve,1 h 42 m,Drama
The Grand Budapest Hotel,2014-03-07,8.4,1499,Wes Anderson,1 h 40 m,Adventure
Winter Sleep,2014-12-19,8.4,123,Nuri Bilge Ceylan,3 h 16 m,Drama
A Star Is Born,2018-10-05,8.4,1704,Bradley Cooper,2 h 16 m,Drama
A Star Is Born,1976-12-17,8.4,1704,Bradley Cooper,2 h 16 m,Drama
Citizenfour,2014-10-24,7.6,160,Laura Poitras,1 h 54 m,Documentary
Time Out,2002-03-29,6.8,14,Laurent Cantet,2 h 14 m,Drama
Away from Her,2007-05-04,7.8,40,Sarah Polley,1 h 50 m,Drama
Mafioso [re-release],2007-01-19,5.0,4,Alberto Lattuada,1 h 45 m,Comedy
The Father,2021-02-26,8.4,306,Florian Zeller,1 h 37 m,Drama
Foxtrot,2017-12-08,7.3,44,Samuel Maoz,1 h 48 m,Drama
Howards End,1992-03-13,8.1,40,James Ivory,2 h 20 m,Drama
Inside Job,2010-10-08,9.1,316,Charles Ferguson,2 h,Documentary
Sweet Country,2018-04-06,7.1,40,Warwick Thornton,1 h 53 m,Adventure
Leave No Trace,2018-06-29,7.6,190,Debra Granik,1 h 49 m,Adventure
Donnie Darko: The Director's Cut,2004-07-23,8.6,346,Richard Kelly,1 h 53 m,Drama
Chicken Run,2000-06-21,8.1,370,"Peter Lord 
    
      Nick Park",1 h 24 m,Animation
The King's Speech,2010-11-26,8.3,921,Tom Hooper,1 h 58 m,Biography
Fargo,1996-03-08,8.7,793,"Joel Coen 
    
      Ethan Coen",1 h 38 m,Crime
Parallel Mothers,2021-12-24,7.3,84,Pedro Almodóvar,2 h,Drama
Hell or High Water,2016-08-12,8.1,767,David Mackenzie,1 h 42 m,Crime
Up,2009-05-29,8.7,1233,"Pete Docter 
    
      Bob Peterson",1 h 36 m,Animation
Shirkers,2018-10-26,7.5,27,Sandi Tan,1 h 37 m,Documentary
Poor Things,2023-12-08,7.1,522,Yorgos Lanthimos,2 h 21 m,Comedy
45365,2010-06-18,7.0,8,"Bill Ross IV 
    
      Turner Ross",1 h 30 m,Documentary
Tootsie,1982-12-17,7.9,127,Sydney Pollack,1 h 56 m,Comedy
Pictures of Ghosts,2024-01-26,7.7,11,Kleber Mendonça Filho,1 h 33 m,Documentary
Aquarius,2016-10-14,8.4,113,Kleber Mendonça Filho,2 h 22 m,Drama
Toy Story 2,1999-11-24,8.7,988,"John Lasseter 
    
      Ash Brannon 
    
      Lee Unkrich",1 h 32 m,Animation
Black Panther,2018-02-16,6.3,3629,Ryan Coogler,2 h 14 m,Action
Cemetery of Splendor,2016-03-04,6.7,31,Apichatpong Weerasethakul,2 h 2 m,Drama
The Human Voice,2021-03-12,6.8,29,Pedro Almodóvar,30 m,Unknown
Brooklyn,2015-11-04,7.9,454,John Crowley,1 h 51 m,Drama
Nobody Knows,2005-02-04,7.7,47,Hirokazu Koreeda,2 h 21 m,Drama
Life Is Sweet,1991-10-25,7.0,12,Mike Leigh,1 h 43 m,Comedy
Apollo 11,2019-03-01,8.1,113,Todd Douglas Miller,1 h 33 m,Documentary
The Lord of the Rings: The Two Towers,2002-12-18,9.0,2155,Peter Jackson,2 h 59 m,Action
L'Enfant (The Child),2006-03-24,8.3,66,"Jean-Pierre Dardenne 
    
      Luc Dardenne",1 h 40 m,Crime
Jane Fonda in Five Acts,2018-09-21,6.5,14,Susan Lacy,2 h 13 m,Documentary
Newtown,2016-10-07,8.2,18,Kim A. Snyder,Not Rated,Documentary
Poetry,2011-02-11,7.9,50,Lee Chang-dong,2 h 19 m,Drama
If Beale Street Could Talk,2018-12-14,7.0,169,Barry Jenkins,1 h 59 m,Drama
Restless Creature: Wendy Whelan,2017-05-24,4.0,4,"Linda Saffire 
    
      Adam Schlesinger",1 h 30 m,Documentary
Birdman or (The Unexpected Virtue of Ignorance),2014-10-17,8.2,1908,Alejandro G. Iñárritu,1 h 59 m,Comedy
Out 1: Noli Me Tangere (1971),2015-11-04,5.0,6,"Jacques Rivette 
    
      Suzanne Schiffman",12 h 9 m,Drama
Shine,1996-11-20,8.0,63,Scott Hicks,1 h 45 m,Biography
Aftershock,2022-07-19,6.0,56,Nicolás López,1 h 29 m,Action
Aftershock,2013-05-10,6.0,56,Nicolás López,1 h 29 m,Action
Can You Ever Forgive Me?,2018-10-19,7.5,155,Marielle Heller,1 h 46 m,Biography
Wolfwalkers,2020-11-13,8.8,258,"Tomm Moore 
    
      Ross Stewart",1 h 43 m,Animation
My Neighbor Totoro,1988-04-16,8.5,244,Hayao Miyazaki,1 h 26 m,Animation
The Missing Picture,2013-10-04,7.6,12,Rithy Panh,1 h 32 m,Documentary
"I Travel Because I Have to, I Come Back Because I Love You",2011-03-25,7.6,7,"Karim Aïnouz 
    
      Marcelo Gomes",1 h 15 m,Drama
"Our Father, the Devil",2023-08-25,9.3,4,Ellie Foumbi,1 h 47 m,Thriller
The Body Remembers When the World Broke Open,2019-11-22,3.9,8,"Kathleen Hepburn 
    
      Elle-Máijá Tailfeathers",1 h 45 m,Drama
Amadeus,1984-09-12,8.3,408,Milos Forman,2 h 40 m,Biography
Of Men and War,2015-11-06,8.3,7,Laurent Bécue-Renard,2 h 22 m,Documentary
The Long Goodbye,1973-03-07,7.4,33,Robert Altman,1 h 52 m,Comedy
Pain and Glory,2019-10-04,7.9,140,Pedro Almodóvar,1 h 53 m,Drama
Russian Ark,2002-11-29,5.4,54,Aleksandr Sokurov,1 h 39 m,Drama
The Farthest,2017-08-11,6.8,17,Emer Reynolds,2 h 1 m,Documentary
Gomorrah,2009-02-13,7.7,78,Matteo Garrone,2 h 17 m,Crime
To Be and to Have,2003-09-19,6.8,16,Nicolas Philibert,1 h 44 m,Documentary
A Night of Knowing Nothing,2022-02-11,6.9,7,Payal Kapadia,1 h 37 m,Documentary
Eraserhead,1978-02-03,7.5,106,David Lynch,1 h 29 m,Fantasy
Return to Seoul,2022-12-02,7.6,29,Davy Chou,1 h 55 m,Drama
The Velvet Underground,2021-10-15,7.3,26,Todd Haynes,2 h 1 m,Documentary
All That Breathes,2022-10-21,7.7,19,Shaunak Sen,1 h 37 m,Documentary
I Vitelloni [re-release],2003-11-14,7.5,28,Federico Fellini,1 h 44 m,Comedy
Attica,2021-10-29,6.3,9,"Traci Curry 
    
      Stanley Nelson",1 h 58 m,Documentary
Three Colors: Blue,1993-09-03,8.2,88,Krzysztof Kieslowski,1 h 38 m,Drama
In the Mood for Love,2001-02-02,7.9,214,Kar-Wai Wong,1 h 38 m,Drama
Fire at Sea,2016-10-21,7.0,19,Gianfranco Rosi,1 h 54 m,Documentary
F for Fake,1975-09-27,7.2,5,"Orson Welles 
    
      Gary Graver 
    
      Oja Kodar 
    
      François Reichenbach",1 h 29 m,Documentary
Grizzly Man,2005-08-12,8.0,71,Werner Herzog,1 h 43 m,Documentary
Ma Rainey's Black Bottom,2020-11-25,7.9,324,George C. Wolfe,1 h 34 m,Drama
Robot Dreams,2023-11-22,8.3,35,Pablo Berger,1 h 42 m,Animation
One False Move,1992-05-08,7.5,16,Carl Franklin,1 h 45 m,Crime
Descendant,2022-10-21,7.2,13,Margaret Brown,1 h 49 m,Documentary
En el Séptimo Día (On the Seventh Day),2018-06-08,7.5,6,Jim McKay,1 h 32 m,Drama
Jane,2017-10-20,8.1,24,Brett Morgen,1 h 30 m,Documentary
Walk Up,2023-03-24,8.0,4,Hong Sang-soo,1 h 37 m,Drama
Jaws,1975-06-20,8.5,781,Steven Spielberg,2 h 4 m,Adventure
We Are the Best!,2014-05-30,7.4,54,Lukas Moodysson,1 h 42 m,Drama
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019-06-12,8.2,26,Martin Scorsese,2 h 22 m,Documentary
Small Axe: Education,2020-12-18,7.0,22,Steve McQueen,1 h 3 m,Drama
About Endlessness,2021-04-30,5.9,15,Roy Andersson,1 h 18 m,Comedy
Back to the Future,1985-07-03,8.8,1074,Robert Zemeckis,1 h 56 m,Adventure
Nomadland,2020-12-04,7.3,357,Chloé Zhao,1 h 47 m,Drama
Hope,2021-04-16,7.1,13,Maria Sødahl,2 h 10 m,Drama
My Journey Through French Cinema,2017-06-23,4.7,6,Bertrand Tavernier,3 h 21 m,Documentary
About Elly (2009),2015-04-08,8.3,144,Asghar Farhadi,1 h 59 m,Drama
The Diary of a Teenage Girl,2015-08-07,6.5,129,Marielle Heller,1 h 42 m,Comedy
Lincoln,2012-11-09,7.5,823,Steven Spielberg,2 h 30 m,Biography
Elena,2012-05-18,7.5,54,Andrey Zvyagintsev,1 h 49 m,Crime
Elena,2014-05-30,7.5,54,Andrey Zvyagintsev,1 h 49 m,Crime
All Is Lost,2013-10-18,6.5,281,J.C. Chandor,1 h 46 m,Action
The Banshees of Inisherin,2022-10-21,7.5,331,Martin McDonagh,1 h 49 m,Comedy
Hereditary,2018-06-08,6.8,1199,Ari Aster,2 h 7 m,Drama
Listen to Me Marlon,2015-07-29,8.3,27,Stevan Riley,1 h 43 m,Documentary
Gideon's Army,2013-06-28,8.3,17,Dawn Porter,1 h 36 m,Documentary
The Fugitive,1993-08-06,8.7,374,Andrew Davis,2 h 10 m,Action
The Death of Mr. Lazarescu,2006-04-26,7.8,17,Cristi Puiu,2 h 30 m,Comedy
Maria Full of Grace,2004-07-16,2.0,197,Joshua Marston,1 h 41 m,Crime
Shakespeare in Love,1998-12-11,6.9,179,John Madden,2 h 3 m,Comedy
Fateless,2006-01-06,4.9,8,Lajos Koltai,2 h 20 m,Drama
Happy as Lazzaro,2018-11-30,7.8,69,Alice Rohrwacher,2 h 5 m,Drama
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003-12-19,7.1,40,Errol Morris,1 h 35 m,Documentary
All Dirt Roads Taste of Salt,2023-11-03,6.9,15,Raven Jackson,1 h 32 m,Drama
Uncle Boonmee Who Can Recall His Past Lives,2011-03-04,7.1,64,Apichatpong Weerasethakul,1 h 54 m,Drama
Brokeback Mountain,2005-12-09,8.1,527,Ang Lee,2 h 14 m,Drama
The Kid with a Bike,2012-03-16,7.5,71,"Jean-Pierre Dardenne 
    
      Luc Dardenne",1 h 27 m,Drama
Spider-Man: Into the Spider-Verse,2018-12-14,8.3,2400,"Bob Persichetti 
    
      Peter Ramsey 
    
      Rodney Rothman",1 h 57 m,Animation
Blue Jean,2023-06-09,6.8,22,Georgia Oakley,1 h 37 m,Drama
The Wicker Man,1974-08-07,2.0,152,Neil LaBute,1 h 42 m,Horror
The Wicker Man,2006-09-01,2.0,152,Neil LaBute,1 h 42 m,Horror
The Tragedy of Macbeth,2021-12-25,7.2,123,Joel Coen,1 h 45 m,Drama
Mulholland Dr.,2001-10-12,7.0,597,David Lynch,2 h 27 m,Drama
Particle Fever,2014-03-05,8.1,33,Mark Levinson,1 h 39 m,Documentary
Tarnation,2004-10-06,6.0,15,Jonathan Caouette,1 h 28 m,Documentary
Murderball,2005-07-08,7.2,20,"Henry Alex Rubin 
    
      Dana Adam Shapiro",1 h 28 m,Documentary
Life Itself,2014-07-04,8.2,93,Steve James,2 h,Documentary
Life Itself,2018-09-21,8.2,93,Steve James,2 h,Documentary
The Shape of Water,2017-12-01,7.0,1094,Guillermo del Toro,2 h 3 m,Drama
Rewind,2020-05-08,6.8,13,Sasha Joseph Neulinger,1 h 26 m,Documentary
Caché (Hidden),2005-12-23,8.1,87,Michael Haneke,1 h 57 m,Drama
The King and the Mockingbird,2014-11-21,8.3,6,Paul Grimault,1 h 23 m,Animation
Bisbee '17,2018-09-05,5.3,9,Robert Greene,1 h 52 m,Documentary
Dirty Harry,1971-12-23,8.2,104,"Don Siegel 
    
      Clint Eastwood",1 h 42 m,Action
Gregory Crewdson: Brief Encounters,2012-11-02,6.7,6,Ben Shapiro,Not Rated,Documentary
The Autobiography of Nicolae Ceausescu,2011-09-09,4.0,10,Andrei Ujica,3 h,Documentary
Moneyball,2011-09-23,7.9,767,Bennett Miller,2 h 13 m,Biography
All About My Mother,1999-11-19,8.2,112,Pedro Almodóvar,1 h 41 m,Comedy
Rushmore,1998-12-11,8.5,322,Wes Anderson,1 h 33 m,Comedy
The Duke of Burgundy,2015-01-23,6.9,56,Peter Strickland,1 h 44 m,Drama
My Golden Days,2016-03-18,6.8,19,Arnaud Desplechin,2 h 3 m,Drama
The Wind Will Carry Us,2000-07-28,7.7,20,Abbas Kiarostami,1 h 58 m,Drama
What the Constitution Means to Me,2020-10-16,7.8,6,Marielle Heller,1 h 40 m,Drama
Force Majeure,2014-10-24,7.4,142,Ruben Östlund,2 h,Comedy
Tampopo,1987-05-22,8.4,9,Jûzô Itami,1 h 54 m,Comedy
Blow Out,1981-07-24,7.9,56,Brian De Palma,1 h 47 m,Crime
Diane,2019-03-29,7.1,23,Kent Jones,1 h 35 m,Drama
Ten,2003-03-05,8.4,21,Abbas Kiarostami,1 h 34 m,Drama
Playground,2022-02-11,7.9,15,Laura Wandel,1 h 12 m,Drama
Tangerine,2015-07-10,7.3,137,Sean Baker,1 h 28 m,Comedy
The Tillman Story,2010-08-20,7.4,30,Amir Bar-Lev,1 h 34 m,Documentary
Renaissance: A Film by Beyoncé,2023-12-01,8.7,255,"Beyoncé 
    
      Mark Ritchie 
    
      Ed Burke",2 h 49 m,Documentary
Dog Day Afternoon,1975-12-25,8.5,114,Sidney Lumet,2 h 5 m,Biography
"sex, lies, and videotape",1989-08-04,7.6,79,Steven Soderbergh,1 h 40 m,Drama
The Remains of the Day,1993-11-05,8.2,69,James Ivory,2 h 14 m,Drama
The Wolf House,2020-05-15,7.4,29,"Joaquín Cociña 
    
      Cristóbal León",1 h 15 m,Animation
An Elephant Sitting Still,2019-03-08,7.8,20,Bo Hu,3 h 50 m,Crime
Anatomy of a Fall,2023-10-13,8.0,254,Justine Triet,2 h 30 m,Crime
The English Patient,1996-11-15,7.5,170,Anthony Minghella,2 h 42 m,Drama
Fallen Leaves,2023-11-17,7.9,46,Aki Kaurismäki,1 h 21 m,Comedy
Nebraska,2013-11-15,8.0,357,Alexander Payne,1 h 55 m,Drama
Like Water for Chocolate,1993-05-28,6.8,16,Alfonso Arau,1 h 45 m,Drama
Ordinary People,1980-09-18,6.6,64,Robert Redford,2 h 4 m,Drama
Under the Sand,2001-05-04,5.7,10,François Ozon,1 h 32 m,Drama
Divine Love,2020-11-13,8.6,31,Gabriel Mascaro,1 h 41 m,Drama
Spider-Man: Across the Spider-Verse,2023-06-02,8.4,1376,"Joaquim Dos Santos 
    
      Kemp Powers 
    
      Justin K. Thompson",2 h 20 m,Animation
Stand Clear of the Closing Doors,2014-05-23,6.8,5,Sam Fleischner,1 h 42 m,Drama
Heavenly Creatures,1994-11-16,7.3,20,Peter Jackson,1 h 39 m,Biography
Dreamcatcher,2015-03-20,5.5,82,Lawrence Kasdan,2 h 14 m,Drama
Dreamcatcher,2003-03-21,5.5,82,Lawrence Kasdan,2 h 14 m,Drama
42: Forty Two Up,1999-11-17,5.0,14,Michael Apted,2 h 19 m,Documentary
The Straight Story,1999-10-15,8.4,122,David Lynch,1 h 52 m,Biography
Million Dollar Baby,2004-12-15,7.5,499,Clint Eastwood,2 h 12 m,Drama
Last Days in Vietnam,2014-09-05,7.8,37,Rory Kennedy,1 h 38 m,Documentary
Krisha,2016-03-18,7.9,63,Trey Edward Shults,1 h 23 m,Drama
Dawson City: Frozen Time,2017-06-09,6.1,10,Bill Morrison,2 h,Documentary
The Babadook,2014-11-28,8.3,1239,Jennifer Kent,1 h 33 m,Drama
Little Men,2016-08-05,7.7,55,Ira Sachs,1 h 25 m,Drama
Dead Ringers,1988-09-23,5.5,86,David Cronenberg,1 h 56 m,Drama
Boogie Nights,1997-10-10,4.3,670,Paul Thomas Anderson,2 h 35 m,Drama
The Kids Are All Right,2010-07-09,7.3,290,Lisa Cholodenko,1 h 46 m,Comedy
Welcome to Chechnya,2020-06-30,7.7,43,David France,1 h 47 m,Documentary
Manakamana,2014-04-18,4.9,14,"Stephanie Spray 
    
      Pacho Velez",1 h 58 m,Documentary
Cave of Forgotten Dreams,2011-04-29,6.7,53,Werner Herzog,1 h 29 m,Documentary
King of the Hill,1993-08-20,7.9,7,Steven Soderbergh,1 h 43 m,Drama
Carrie,1976-11-16,6.1,374,Kimberly Peirce,1 h 40 m,Drama
Carrie,2013-10-18,6.1,374,Kimberly Peirce,1 h 40 m,Drama
The Red Turtle,2017-01-20,7.6,168,Michael Dudok de Wit,1 h 20 m,Animation
Hope and Glory,1988-02-19,8.5,4,John Boorman,1 h 53 m,Comedy
My Happy Family,2017-12-01,7.4,16,"Nana Ekvtimishvili 
    
      Simon Groß",2 h,Drama
How to Survive a Plague,2012-09-21,8.1,33,David France,2 h,Documentary
Chasing Coral,2017-07-14,6.9,21,Jeff Orlowski-Yang,1 h 33 m,Documentary
Showing Up,2023-04-07,6.5,31,Kelly Reichardt,1 h 48 m,Comedy
In the Bedroom,2001-11-23,6.9,66,Todd Field,2 h 10 m,Crime
Barbara,2012-12-21,7.1,50,Christian Petzold,1 h 45 m,Drama
Of Gods and Men,2011-02-25,6.8,45,Xavier Beauvois,2 h,Drama
To Die For,1995-09-27,8.4,149,Gus Van Sant,1 h 46 m,Comedy
One Cut of the Dead,2019-09-13,7.7,66,Shin'ichirô Ueda,1 h 36 m,Comedy
Museo,2018-09-14,7.3,15,Alonso Ruizpalacios,2 h 8 m,Crime
Nobody's Fool,1995-01-13,7.8,15,Robert Benton,1 h 50 m,Comedy
Nobody's Fool,2018-11-02,7.8,15,Robert Benton,1 h 50 m,Comedy
Before the Devil Knows You're Dead,2007-10-26,9.0,258,Sidney Lumet,1 h 57 m,Crime
Stranger Than Paradise,1984-07-25,6.5,17,Jim Jarmusch,1 h 29 m,Comedy
The Beaches of Agnès,2009-07-01,6.8,6,Agnès Varda,1 h 50 m,Documentary
Raiders of the Lost Ark,1981-06-12,8.6,1107,Steven Spielberg,1 h 55 m,Action
I Saw the TV Glow,2024-05-03,6.0,103,Jane Schoenbrun,1 h 40 m,Drama
Deliver Us from Evil,2006-10-13,7.5,21,Amy Berg,1 h 41 m,Documentary
May December,2023-11-17,7.0,141,Todd Haynes,1 h 53 m,Drama
Maidan,2014-12-12,6.0,9,Sergey Loznitsa,2 h 14 m,Documentary
Say Anything...,1989-04-04,8.0,97,Cameron Crowe,1 h 40 m,Comedy
Drug War,2013-07-26,7.2,50,Johnnie To,1 h 47 m,Action
The Great Beauty,2013-11-15,8.1,215,Paolo Sorrentino,2 h 22 m,Drama
Vitalina Varela,2020-02-21,5.6,11,Pedro Costa,2 h 4 m,Drama
Happening,2022-05-06,7.0,24,Audrey Diwan,1 h 40 m,Drama
Patton,1970-02-18,8.4,136,Franklin J. Schaffner,2 h 52 m,Biography
The Lost Daughter,2021-12-17,6.2,155,Maggie Gyllenhaal,2 h 1 m,Drama
Black Mother,2019-03-08,4.3,8,Khalik Allah,1 h 17 m,Documentary
The Big Sick,2017-06-23,7.0,415,Michael Showalter,2 h,Comedy
Argo,2012-10-12,7.7,1123,Ben Affleck,2 h,Biography
Our Daily Bread,2006-11-24,7.8,5,Nikolaus Geyrhalter,1 h 32 m,Documentary
Talk to Her,2002-11-22,8.0,86,Pedro Almodóvar,1 h 52 m,Drama
Traffic,2000-12-27,8.8,330,Steven Soderbergh,2 h 27 m,Crime
The Grifters,1990-12-05,8.1,74,Stephen Frears,1 h 50 m,Crime
Summer Hours,2009-05-15,7.3,19,Olivier Assayas,1 h 43 m,Drama
The Master,2012-09-14,7.3,660,Paul Thomas Anderson,2 h 24 m,Drama
Boys Don't Cry,1999-10-08,7.4,114,Kimberly Peirce,1 h 58 m,Biography
The Wild Pear Tree,2019-01-30,7.9,38,Nuri Bilge Ceylan,3 h 8 m,Drama
"Distant Voices, Still Lives",1988-09-11,7.4,7,Terence Davies,1 h 25 m,Drama
Nausicaä of the Valley of the Wind,1985-06-13,8.5,133,Hayao Miyazaki,1 h 57 m,Animation
Aladdin,1992-11-25,8.6,253,"Ron Clements 
    
      John Musker",1 h 30 m,Animation
Aladdin,2019-05-24,8.6,253,"Ron Clements 
    
      John Musker",1 h 30 m,Animation
Los Angeles Plays Itself,2004-07-28,7.9,9,Thom Andersen,2 h 49 m,Documentary
This Is England,2007-07-27,8.0,89,Shane Meadows,1 h 41 m,Crime
Wheel of Fortune and Fantasy,2021-10-15,7.4,29,Ryûsuke Hamaguchi,2 h 1 m,Drama
City of Ghosts,2017-07-07,7.5,6,Matt Dillon,1 h 56 m,Crime
City of Ghosts,2003-04-25,7.5,6,Matt Dillon,1 h 56 m,Crime
The Player,1992-04-03,7.9,62,Robert Altman,2 h 4 m,Comedy
Sweet Sixteen,2003-05-16,7.9,7,Ken Loach,1 h 46 m,Crime
The Son,2003-01-10,8.7,12,"Jean-Pierre Dardenne 
    
      Luc Dardenne",1 h 43 m,Drama
The Son,2022-11-25,8.7,12,"Jean-Pierre Dardenne 
    
      Luc Dardenne",1 h 43 m,Drama
Ponyo,2009-08-14,7.7,310,Hayao Miyazaki,1 h 41 m,Animation
The Last Detail,1973-12-12,7.8,23,Hal Ashby,1 h 44 m,Comedy
Strong Island,2017-09-15,5.2,18,Yance Ford,1 h 47 m,Documentary
The Interrupters,2011-07-29,6.8,18,Steve James,2 h 5 m,Documentary
American Factory,2019-08-21,7.6,55,"Steven Bognar 
    
      Julia Reichert",1 h 55 m,Documentary
First Reformed,2018-05-18,7.4,243,Paul Schrader,1 h 53 m,Drama
Baby Driver,2017-06-28,7.8,1468,Edgar Wright,1 h 52 m,Action
The Silence of the Lambs,1991-02-13,8.7,875,Jonathan Demme,1 h 58 m,Crime
Beasts of the Southern Wild,2012-06-27,7.5,333,Benh Zeitlin,1 h 33 m,Adventure
Let the Fire Burn,2013-10-02,7.4,7,Jason Osder,1 h 28 m,Documentary
Last Train Home,2010-09-03,8.0,32,Lixin Fan,1 h 25 m,Documentary
Crip Camp: A Disability Revolution,2020-03-25,7.4,35,"James Lebrecht 
    
      Nicole Newnham",1 h 46 m,Documentary
Andy Warhol: A Documentary Film,2006-09-01,8.5,4,Ric Burns,4 h,Documentary
One Fine Morning,2022-12-09,6.7,13,Mia Hansen-Løve,1 h 52 m,Drama
The Double Life of Veronique,1991-11-22,7.9,40,Krzysztof Kieslowski,1 h 38 m,Drama
Flight of the Red Balloon,2008-04-04,7.0,8,Hsiao-Hsien Hou,1 h 55 m,Drama
The Last Seduction,1994-10-26,7.9,44,John Dahl,1 h 50 m,Crime
Walkabout,1971-07-01,7.9,10,Nicolas Roeg,1 h 40 m,Adventure
Atlantics,2019-11-15,6.4,42,Mati Diop,1 h 44 m,Drama
Before Night Falls,2000-12-22,6.2,33,Julian Schnabel,2 h 13 m,Biography
Wake in Fright (1971),2012-10-05,7.2,16,Ted Kotcheff,1 h 54 m,Drama
Waking Life,2001-10-19,8.2,108,Richard Linklater,1 h 39 m,Animation
The Green Knight,2021-07-30,6.3,455,David Lowery,2 h 10 m,Adventure
The First Wave,2021-11-19,5.4,7,Matthew Heineman,1 h 34 m,Documentary
Five Easy Pieces,1970-09-12,7.8,28,Bob Rafelson,1 h 38 m,Drama
The Bourne Ultimatum,2007-08-03,7.5,574,Paul Greengrass,1 h 55 m,Action
Harry Potter and the Deathly Hallows: Part 2,2011-07-15,8.2,1952,David Yates,2 h 10 m,Adventure
Tea with the Dames,2018-09-21,7.5,11,Roger Michell,1 h 24 m,Documentary
Athlete A,2020-06-24,6.9,43,"Bonni Cohen 
    
      Jon Shenk",1 h 43 m,Documentary
Take Shelter,2011-09-30,7.7,254,Jeff Nichols,2 h,Drama
The Salesman,2017-01-27,7.5,296,Asghar Farhadi,2 h 4 m,Drama
The Pianist,2002-12-27,8.0,542,Roman Polanski,2 h 30 m,Biography
You Can Count on Me,2000-11-10,8.3,106,Kenneth Lonergan,1 h 51 m,Drama
Children Underground,2001-09-19,6.0,8,Edet Belzberg,1 h 44 m,Documentary
Get Out,2017-02-24,7.5,1692,Jordan Peele,1 h 44 m,Horror
City of Life and Death,2011-05-11,8.0,29,Chuan Lu,2 h 12 m,Drama
West Side Story,2021-12-10,7.7,83,"Jerome Robbins 
    
      Robert Wise",2 h 33 m,Crime
California Split,1974-08-01,7.3,6,Robert Altman,1 h 48 m,Comedy
Song of the Sea,2014-12-19,8.4,192,Tomm Moore,1 h 33 m,Animation
The Edge of Heaven,2008-05-21,8.4,28,Fatih Akin,1 h 56 m,Drama
The Savages,2007-11-28,7.5,50,Tamara Jenkins,1 h 53 m,Comedy
Birds of Passage,2019-02-13,7.8,51,"Cristina Gallego 
    
      Ciro Guerra",2 h 5 m,Crime
Gimme Shelter,1970-12-06,7.3,13,"Albert Maysles 
    
      David Maysles 
    
      Charlotte Zwerin",1 h 31 m,Documentary
Gimme Shelter,2014-01-24,7.3,13,"Albert Maysles 
    
      David Maysles 
    
      Charlotte Zwerin",1 h 31 m,Documentary
Ilo Ilo,2014-04-04,7.7,28,Anthony Chen,1 h 39 m,Drama
An Education,2009-10-09,7.6,168,Lone Scherfig,1 h 40 m,Drama
Lebanon,2010-08-06,6.4,37,Samuel Maoz,1 h 33 m,Drama
To the Ends of the Earth,2020-12-11,7.3,6,Kiyoshi Kurosawa,2 h,Drama
Ash Is Purest White,2019-03-15,7.2,38,Zhangke Jia,2 h 16 m,Crime
The Treasure,2016-01-08,7.0,15,Corneliu Porumboiu,1 h 29 m,Comedy
Night Will Fall,2014-11-21,7.9,15,André Singer,1 h 15 m,Documentary
I Am Another You,2017-09-27,4.5,8,Nanfu Wang,1 h 20 m,Documentary
